N;Итерации;Время;Погрешность
100;725;0.0354015;0;
110;815;0.04732;0;
120;903;0.0628351;0;
130;989;0.0809573;0;
140;1071;0.10065;0;
150;1151;0.12457;0;
160;1227;0.150547;0;
170;1300;0.185981;0;
180;1369;0.212473;0;
190;1435;0.255033;0;
200;1497;0.29345;0;
210;1556;0.334961;0;
220;1613;0.382408;0;
230;1667;0.426319;0;
240;1718;0.483651;0;
250;1766;0.540386;0;
260;1813;0.602655;0;
270;1858;0.660983;0;
280;1900;0.746268;0;
290;1941;0.814426;0;
300;1980;0.950165;0;
310;2017;0.981128;0;
320;2053;1.05635;0;
330;2087;1.12951;0;
340;2120;1.22405;0;
350;2152;1.32741;0;
360;2182;1.41257;0;
370;2211;1.51532;0;
380;2239;1.61555;0;
390;2267;1.71979;0;
400;2293;1.82789;0;
410;2318;1.94779;0;
420;2342;2.04851;0;
430;2366;2.23593;0;
440;2388;2.32763;0;
450;2410;2.44237;0;
460;2431;2.57183;0;
470;2452;2.71834;0;
480;2471;2.86467;0;
490;2491;2.98278;0;
500;2509;3.13161;0;
