N;Итерации;Время;Погрешность
100;1348;0.0410017;0.000103734;
110;1560;0.0525272;9.82839e-05;
120;1790;0.0497625;6.87936e-05;
130;2017;0.0660393;7.47838e-05;
140;2261;0.0819529;5.94863e-05;
150;2504;0.0960336;7.08232e-05;
160;2750;0.112455;7.17316e-05;
170;3008;0.136039;4.42335e-05;
180;3270;0.151829;6.37303e-05;
190;3535;0.135887;6.04888e-05;
200;3805;0.151525;5.5652e-05;
210;4079;0.173054;6.67529e-05;
220;4358;0.218806;4.8039e-05;
230;4637;0.240543;6.3754e-05;
240;4919;0.279866;5.12413e-05;
250;5203;0.311055;5.33324e-05;
260;5487;0.333654;5.03129e-05;
270;5772;0.372358;5.48179e-05;
280;6059;0.393756;4.31909e-05;
290;6346;0.458899;4.23037e-05;
300;6633;0.498949;3.96142e-05;
310;6918;0.55402;4.07583e-05;
320;7203;0.613987;4.00082e-05;
330;7488;0.697675;3.81985e-05;
340;7770;0.728735;3.75613e-05;
350;8051;0.795405;3.69124e-05;
360;8331;0.859561;3.435e-05;
370;8609;0.938311;3.53131e-05;
380;8884;1.01493;3.22732e-05;
390;9157;1.09257;3.04134e-05;
400;9427;1.16649;2.98241e-05;
410;9695;1.24318;2.87725e-05;
420;9959;1.35490;2.77289e-05;
430;10221;1.45772;2.77169e-05;
440;10479;1.54682;2.66865e-05;
450;10735;1.66661;2.63023e-05;
460;10986;1.77897;3.1875e-05;
470;11235;1.89024;2.51462e-05;
480;11480;2.00653;2.40723e-05;
490;11721;2.14666;2.33755e-05;
500;11959;2.26804;2.88499e-05;
