N;Итерации;Время;Погрешность
100;213;0.0064018;0.00199017;
110;221;0.0077892;0.00165619;
120;233;0.009715;0.00235496;
130;244;0.0091514;0.00390842;
140;247;0.0112856;0.000794614;
150;254;0.0115465;0.000690667;
160;276;0.0139017;0.015201;
170;267;0.0144472;0.00181233;
180;270;0.014167;0.000739267;
190;276;0.0185106;0.00116908;
200;280;0.0229238;0.00121949;
210;284;0.0220648;0.00129621;
220;286;0.0225669;0.000726454;
230;290;0.0275397;0.000863054;
240;293;0.0182863;0.000594665;
250;296;0.0267526;0.000687345;
260;298;0.0357081;0.000772299;
270;301;0.0368516;0.000820448;
280;303;0.0391626;0.0010658;
290;305;0.0411435;0.000771224;
300;307;0.0319198;0.000511145;
310;309;0.0469757;0.000890852;
320;311;0.0537179;0.000789602;
330;312;0.0738208;0.00139308;
340;314;0.0560052;0.000715895;
350;316;0.062094;0.000621987;
360;317;0.0759392;0.000803841;
370;319;0.0692437;0.00060336;
380;320;0.0681294;0.000661956;
390;321;0.0708406;0.000577677;
400;323;0.0711011;0.000517268;
410;324;0.0768521;0.000642261;
420;325;0.0728053;0.000504589;
430;326;0.0775696;0.000465129;
440;327;0.090361;0.000698773;
450;328;0.0807182;0.00047164;
460;329;0.0968618;0.000634124;
470;329;0.105202;0.0006489;
480;330;0.110874;0.000718814;
490;331;0.111357;0.000567376;
500;332;0.115694;0.000633276;
