N;Итерации;Время;Погрешность
100;212;0.0076872;0.00111059;
110;221;0.0157684;0.0017017;
120;231;0.0194639;0.00113641;
130;239;0.0130322;0.00143643;
140;260;0.0242818;0.0125908;
150;255;0.016425;0.000877235;
160;260;0.0187276;0.000699208;
170;265;0.0234349;0.000745031;
180;270;0.0209118;0.000678568;
190;275;0.0333361;0.000691557;
200;279;0.0366057;0.00106969;
210;283;0.0287706;0.000717251;
220;286;0.0351606;0.000609716;
230;290;0.0509412;0.00065745;
240;293;0.0551519;0.00080082;
250;296;0.0433433;0.00103342;
260;298;0.0583025;0.000862402;
270;301;0.0635926;0.000971194;
280;303;0.0510484;0.000511838;
290;305;0.0393923;0.000471177;
300;307;0.0722622;0.000917623;
310;309;0.0475229;0.000447466;
320;311;0.048919;0.000435619;
330;313;0.0582844;0.000412861;
340;314;0.0499634;0.000407783;
350;316;0.079605;0.000732711;
360;317;0.104356;0.000612761;
370;319;0.0896986;0.000801285;
380;320;0.081767;0.000380916;
390;321;0.155784;0.00074792;
400;322;0.126731;0.00127543;
410;324;0.134999;0.000752612;
420;325;0.133206;0.000606531;
430;326;0.142953;0.000641148;
440;327;0.153935;0.000739548;
450;328;0.157583;0.000784223;
460;329;0.161557;0.000767578;
470;329;0.173678;0.000758885;
480;330;0.173079;0.000716629;
490;331;0.19723;0.000768213;
500;332;0.188094;0.000619686;
