N;Итерации;Время;Погрешность
100;211;0.0462373;0;
110;222;0.0514554;0;
120;231;0.0722002;0;
130;240;0.0697607;0;
140;247;0.0905145;0;
150;254;0.106561;0;
160;260;0.117198;0;
170;265;0.111956;0;
180;270;0.122881;0;
190;275;0.136246;0;
200;279;0.155046;0;
210;283;0.232159;0;
220;286;0.208282;0;
230;290;0.246814;0;
240;293;0.223455;0;
250;296;0.195692;0;
260;298;0.175676;0;
270;301;0.186897;0;
280;303;0.207892;0;
290;305;0.246986;0;
300;307;0.215529;0;
310;309;0.240101;0;
320;311;0.235803;0;
330;313;0.245814;0;
340;314;0.229659;0;
350;316;0.317384;0;
360;317;0.321704;0;
370;319;0.421727;0;
380;320;0.418609;0;
390;321;0.405498;0;
400;323;0.431288;0;
410;324;0.360317;0;
420;325;0.364483;0;
430;326;0.474483;0;
440;327;0.782844;0;
450;328;0.663425;0;
460;329;0.432528;0;
470;329;0.531174;0;
480;330;0.432347;0;
490;331;0.502571;0;
500;332;0.544825;0;
