N;Итерации;Время;Погрешность
100;1350;0.260873;0;
110;1562;0.299671;0;
120;1784;0.36823;0;
130;2014;0.438027;0;
140;2252;0.567625;0;
150;2497;0.591723;0;
160;2749;0.662829;0;
170;3005;0.755588;0;
180;3268;0.865444;0;
190;3534;1.0325;0;
200;3805;1.13431;0;
210;4080;1.26567;0;
220;4357;1.59201;0;
230;4637;1.62641;0;
240;4918;1.90315;0;
250;5202;1.9638;0;
260;5487;2.31513;0;
270;5773;2.3689;0;
280;6059;2.71168;0;
290;6345;2.79567;0;
300;6632;3.20039;0;
310;6918;3.26946;0;
320;7203;3.4501;0;
330;7487;3.74658;0;
340;7770;4.07624;0;
350;8051;4.34342;0;
360;8331;4.58318;0;
370;8608;5.01424;0;
380;8884;5.33887;0;
390;9157;5.54731;0;
400;9427;5.96999;0;
410;9695;6.19302;0;
420;9959;6.91619;0;
430;10221;6.746;0;
440;10479;7.33228;0;
450;10735;8.52517;0;
460;10987;8.50231;0;
470;11235;8.40819;0;
480;11480;8.93489;0;
490;11721;9.87843;0;
500;11960;9.88279;0;
