N;Итерации;Время;Погрешность
100;1350;0.256912;0;
110;1562;0.315395;0;
120;1784;0.456549;0;
130;2014;0.513078;0;
140;2252;0.658604;0;
150;2497;0.816665;0;
160;2749;0.980612;0;
170;3005;1.18333;0;
180;3268;1.25902;0;
190;3534;1.54004;0;
200;3805;1.56971;0;
210;4080;1.78491;0;
220;4357;2.04178;0;
230;4637;2.18225;0;
240;4918;2.61460;0;
250;5202;2.89285;0;
260;5487;3.15796;0;
270;5773;3.42437;0;
280;6059;3.58459;0;
290;6345;3.77981;0;
300;6632;4.28699;0;
310;6918;4.24792;0;
320;7203;4.85765;0;
330;7487;4.88949;0;
340;7770;5.46691;0;
350;8051;5.62881;0;
360;8331;5.96609;0;
370;8608;6.50371;0;
380;8884;6.62680;0;
390;9157;7.01866;0;
400;9427;7.54388;0;
410;9695;8.19260;0;
420;9959;9.24678;0;
430;10221;8.79340;0;
440;10479;9.13917;0;
450;10735;9.85542;0;
460;10987;10.24960;0;
470;11235;10.88020;0;
480;11480;11.41120;0;
490;11721;12.22500;0;
500;11960;12.96970;0;
