N;Итерации;Время;Погрешность
100;1350;0.0981393;0;
110;1562;0.139935;0;
120;1784;0.20999;0;
130;2014;0.281487;0;
140;2252;0.328334;0;
150;2497;0.421951;0;
160;2749;0.544112;0;
170;3005;0.647132;0;
180;3268;0.789973;0;
190;3534;1.00047;0;
200;3805;1.16212;0;
210;4080;1.34488;0;
220;4357;1.6246;0;
230;4637;1.88437;0;
240;4918;2.16207;0;
250;5202;2.48664;0;
260;5487;2.85245;0;
270;5773;3.29064;0;
280;6059;3.65413;0;
290;6345;4.16698;0;
300;6632;4.58743;0;
310;6918;5.12722;0;
320;7203;5.77702;0;
330;7487;6.14782;0;
340;7770;6.98686;0;
350;8051;7.17293;0;
360;8331;5.48125;0;
370;8608;8.95139;0;
380;8884;7.99999;0;
390;9157;9.15494;0;
400;9427;11.6262;0;
410;9695;11.9239;0;
420;9959;12.7045;0;
430;10221;11.6127;0;
440;10479;15.6592;0;
450;10735;14.3956;0;
460;10987;15.0256;0;
470;11235;15.9887;0;
480;11480;19.6381;0;
490;11721;18.1571;0;
500;11960;17.7288;0;
