N;Итерации;Время;Погрешность
100;211;0.0157445;0;
110;222;0.0206754;0;
120;231;0.0330631;0;
130;240;0.0297101;0;
140;247;0.0356405;0;
150;254;0.0711532;0;
160;260;0.051459;0;
170;265;0.0690077;0;
180;270;0.0662621;0;
190;275;0.0992725;0;
200;279;0.0985766;0;
210;283;0.0950813;0;
220;286;0.120797;0;
230;290;0.131552;0;
240;293;0.129107;0;
250;296;0.148716;0;
260;298;0.152186;0;
270;301;0.164869;0;
280;303;0.181199;0;
290;305;0.2045;0;
300;307;0.21142;0;
310;309;0.224607;0;
320;311;0.247097;0;
330;313;0.256606;0;
340;314;0.273587;0;
350;316;0.296299;0;
360;317;0.343076;0;
370;319;0.369049;0;
380;320;0.376779;0;
390;321;0.420254;0;
400;323;0.3949;0;
410;324;0.440988;0;
420;325;0.471256;0;
430;326;0.48034;0;
440;327;0.550201;0;
450;328;0.531223;0;
460;329;0.546897;0;
470;329;0.556936;0;
480;330;0.617696;0;
490;331;0.677456;0;
500;332;0.668033;0;
