N;Итерации;Время;Погрешность
100;725;0.035317;0.000380352;
110;814;0.0449635;0.000422633;
120;903;0.0438379;0.000317198;
130;991;0.0477699;0.000240435;
140;1078;0.062187;0.000686472;
150;1151;0.0737022;0.000241849;
160;1227;0.0710306;0.000224111;
170;1300;0.0568456;0.000208448;
180;1372;0.111353;0.00019994;
190;1446;0.134876;0.00097206;
200;1498;0.131061;0.000255441;
210;1558;0.173206;0.000203441;
220;1619;0.192835;0.000476235;
230;1668;0.197417;0.000237591;
240;1718;0.225853;0.000350927;
250;1768;0.226439;0.000127171;
260;1814;0.239197;0.000157685;
270;1859;0.25144;0.000127279;
280;1901;0.280769;0.000153338;
290;1942;0.284681;0.000142131;
300;1980;0.293362;0.000177411;
310;2017;0.258763;0.000137228;
320;2053;0.337072;0.000163777;
330;2087;0.342571;0.000154636;
340;2120;0.325309;0.000130283;
350;2151;0.343475;0.000198309;
360;2182;0.403684;0.000139531;
370;2211;0.420993;0.000117316;
380;2239;0.441679;0.000116549;
390;2266;0.429172;0.000182541;
400;2292;0.495752;0.000199481;
410;2318;0.511587;0.000100517;
420;2342;0.472283;8.15405e-05;
430;2365;0.562012;0.000188033;
440;2388;0.590117;9.26155e-05;
450;2409;0.613846;0.000183982;
460;2431;0.629489;8.76664e-05;
470;2452;0.669284;8.68159e-05;
480;2472;0.7192;0.000151464;
490;2491;0.730152;8.5053e-05;
500;2510;0.746859;0.000153226;
