Последовательное время;Параллельное время;Неточность;Ускорение
15273;101309;9.3225e+06;0.150757;
29421;195791;1.0259e+09;0.150267;
49361;315386;-5.71317e+09;0.15651;
69895;343070;1.37678e+09;0.203734;
80599;496823;-2.64451e+09;0.162229;
91428;458365;1.04354e+10;0.199465;
96166;703218;1.79265e+10;0.136751;
127929;869020;-3.27743e+10;0.147211;
124542;773061;6.12368e+10;0.161102;
153172;802904;8.82482e+09;0.190772;
157689;1007208;2.80515e+10;0.156561;
175136;1128914;-7.03972e+10;0.155137;
201405;1382772;6.3485e+10;0.145653;
214622;1213492;2.81052e+11;0.176863;
216477;1250071;-1.4764e+10;0.173172;
289135;1457441;1.40862e+11;0.198385;
240035;1448232;7.74436e+10;0.165743;
251928;1525366;1.46297e+11;0.165159;
270140;1622591;2.97695e+11;0.166487;
275837;1841880;-5.2506e+11;0.149758;
287857;1816634;1.65625e+11;0.158456;
302730;1862714;-3.95405e+11;0.162521;
319489;2175441;1.42808e+11;0.146862;
327813;2070120;-3.76883e+11;0.158355;
