Последовательное время;Параллельное время;Неточность;Ускорение
212716;1440041;2.10923e+11;0.147715;
211824;1239065;7.2142e+10;0.170955;
212757;1469539;-4.73386e+11;0.144778;
215688;1393094;1.5482e+11;0.154827;
217219;1457581;2.58369e+11;0.149027;
220309;1316042;-2.90514e+11;0.167403;
224584;1319082;-1.57303e+11;0.170258;
224462;1525932;1.40862e+11;0.147098;
223838;1438175;7.11354e+10;0.15564;
229001;1456562;2.10386e+11;0.15722;
223443;1552610;2.11124e+11;0.143914;
255176;1571539;4.73789e+11;0.162373;
229371;1355078;-4.30302e+11;0.169268;
246560;1554950;2.15285e+11;0.158565;
229584;1796290;6.93906e+10;0.12781;
265263;1502289;9.52946e+09;0.176573;
232147;1612712;1.9985e+11;0.143948;
243644;1539424;7.74436e+10;0.15827;
235768;1336851;5.86934e+11;0.176361;
237418;1524045;2.4025e+11;0.155781;
284319;1500902;3.12593e+11;0.189432;
241351;1651925;5.5754e+11;0.146103;
261353;1492631;2.99708e+11;0.175096;
242531;1521788;-1.12609e+11;0.159372;
253040;1588670;5.00901e+11;0.159278;
246259;1576844;-5.08685e+10;0.156172;
244943;1549524;7.81147e+10;0.158076;
248005;1525858;1.46297e+11;0.162535;
249641;1489926;4.82379e+11;0.167553;
267219;1386492;-1.85355e+11;0.19273;
258777;1773641;-2.59174e+11;0.145902;
258358;1820405;-8.26781e+10;0.141923;
252921;1816764;8.76442e+10;0.139215;
255410;1516343;1.12743e+10;0.168438;
256443;1597111;-6.1861e+11;0.160567;
257751;1732357;-2.32197e+10;0.148786;
259996;1643783;-2.99171e+11;0.158169;
259874;1575037;2.97695e+11;0.164995;
276284;1758411;5.56064e+11;0.157121;
309751;1925639;5.12175e+11;0.160856;
264911;1768409;3.04003e+11;0.149802;
267564;1886145;3.93124e+11;0.141858;
286873;2045857;4.68554e+11;0.140221;
271567;1592635;5.10698e+11;0.170514;
290709;1519925;-5.96061e+11;0.191265;
271740;1764895;-7.72155e+11;0.153969;
274383;1542515;2.14883e+11;0.17788;
274749;1748371;-5.2506e+11;0.157146;
275745;1889248;6.36729e+11;0.145955;
278658;1834780;7.60075e+11;0.151875;
285199;1862130;3.11117e+11;0.153157;
280181;1697826;-1.25091e+11;0.165023;
311035;1897808;-8.64899e+11;0.163892;
291254;1863070;6.8451e+10;0.15633;
319096;1789464;-2.63335e+11;0.178319;
288558;1709831;1.10434e+12;0.168764;
288293;1782870;-4.86137e+11;0.161702;
288867;1759144;1.65625e+11;0.164209;
291001;1824573;3.63998e+11;0.15949;
320435;1862451;4.8721e+11;0.17205;
296323;1922199;-2.18506e+11;0.154158;
295301;1985106;-7.71215e+11;0.148758;
296593;1716676;-9.49993e+11;0.172772;
302813;1768458;-3.04674e+11;0.17123;
298725;2236115;-6.96053e+11;0.133591;
301102;1667973;-6.59814e+11;0.18052;
302191;1930752;-1.17333e+12;0.156515;
302935;2004781;-3.95405e+11;0.151106;
302949;1857876;8.67583e+11;0.163062;
334605;2203332;7.82489e+11;0.151863;
306438;2058500;5.98074e+11;0.148865;
326943;2005582;1.01764e+12;0.163017;
320747;2233132;-1.21574e+12;0.143631;
310318;1999832;5.76331e+11;0.155172;
313144;2062804;-3.32592e+11;0.151805;
314648;2114448;-4.81036e+11;0.148809;
314750;2179040;1.12206e+12;0.144444;
319967;2196524;1.42808e+11;0.14567;
359239;2164426;-1.55961e+11;0.165974;
339964;1949203;1.59451e+11;0.174412;
320980;2150921;3.46013e+11;0.149229;
352792;1984774;-2.88837e+11;0.177749;
373293;2148050;1.34808e+12;0.173782;
326392;2027225;1.04663e+12;0.161004;
352333;2023963;-7.74705e+11;0.174081;
368432;2435779;-2.27365e+11;0.151258;
352135;2595374;5.43582e+11;0.135678;
329223;2026334;-3.76883e+11;0.162472;
