Последовательное время;Параллельное время;Неточность;Ускорение
249640;1304826;-7.77121e+10;0.191321;
251599;1261202;-7.66383e+10;0.199491;
258481;1336211;-6.41829e+11;0.193443;
267632;1622881;1.13548e+11;0.164912;
255361;1594126;-9.67307e+11;0.160189;
258165;1913375;-1.87905e+11;0.134927;
259766;1699931;-1.24286e+11;0.15281;
261876;1618719;6.76592e+11;0.16178;
261241;1645563;2.05219e+11;0.158755;
264802;1127792;6.17267e+11;0.234797;
293407;2028854;2.83736e+11;0.144617;
265379;1667505;4.12317e+11;0.159147;
280640;1760722;8.74965e+11;0.159389;
291770;2009289;7.23702e+11;0.145211;
269301;1671216;-4.96203e+11;0.161141;
272118;1675444;-5.43716e+11;0.162415;
273732;1666903;2.32197e+11;0.164216;
275401;1712282;-5.95524e+11;0.160839;
274989;2071198;5.21033e+11;0.132768;
276186;1270503;4.8466e+11;0.217383;
287979;1665603;4.99022e+11;0.172898;
280260;1764342;-2.40652e+11;0.158847;
280678;2103682;-6.41561e+11;0.133422;
281618;1817846;1.35023e+11;0.154919;
285175;1788054;-6.18207e+11;0.159489;
317780;1866966;6.60888e+11;0.170212;
301596;1833831;-2.74341e+11;0.164462;
288672;1849277;8.2705e+11;0.1561;
291902;1871039;-1.45224e+11;0.156011;
292658;1481626;6.14717e+11;0.197525;
293221;2187744;-1.53008e+10;0.134029;
294077;1847569;-9.9858e+11;0.15917;
296565;1847882;-9.5912e+11;0.160489;
296416;1906129;4.76741e+11;0.155507;
297727;1863795;-6.46929e+11;0.159742;
299378;1540718;-4.95263e+11;0.194311;
300915;1860820;-1.15427e+12;0.161711;
304210;1980696;-8.68926e+11;0.153587;
304269;1961983;5.51366e+11;0.155082;
304634;1944529;1.31829e+12;0.156662;
306382;1914790;9.6771e+11;0.160008;
308007;1973624;1.17709e+12;0.156062;
310749;1927522;-8.79931e+11;0.161217;
310546;1899528;1.08045e+12;0.163486;
313220;1988316;3.23733e+11;0.15753;
313561;2344375;-1.50861e+12;0.13375;
315192;2034808;5.72841e+11;0.1549;
319580;1639471;4.42919e+11;0.194929;
319459;2004048;5.40361e+11;0.159407;
320233;2005746;-1.34755e+11;0.159658;
321460;2041782;-3.87084e+11;0.157441;
322923;2078556;3.42524e+11;0.155359;
323157;2034736;6.03443e+11;0.15882;
329744;2094002;-8.3215e+09;0.157471;
334526;1699871;-7.76315e+11;0.196795;
329148;2094001;6.76726e+11;0.157186;
329204;2107971;6.03174e+11;0.156171;
330137;2031399;-5.79552e+11;0.162517;
