Последовательное время;Параллельное время;Неточность;Ускорение
16476;120393;-2.09191e+08;0.136852;
33655;159975;7.83286e+08;0.210377;
50269;371339;-1.94091e+09;0.135372;
65093;318809;4.65253e+09;0.204176;
75506;582852;8.49137e+09;0.129546;
83189;483010;4.86539e+08;0.17223;
98079;374968;-6.0398e+08;0.261566;
123922;977832;-2.24899e+10;0.126731;
139081;1070771;5.78814e+10;0.129889;
154444;1258522;1.49988e+10;0.122719;
150894;1285449;-4.35872e+10;0.117386;
181878;1427617;-8.62349e+10;0.1274;
189694;1590091;1.05227e+11;0.119298;
193532;1008878;2.99306e+11;0.191829;
218246;1829122;-2.44142e+11;0.119317;
221359;1862028;1.0214e+11;0.118881;
237840;1221722;1.16904e+11;0.194676;
249376;1137717;2.93937e+11;0.21919;
261470;2304754;5.46132e+11;0.113448;
274394;2434013;-7.71484e+11;0.112733;
288919;2541095;5.99685e+11;0.113699;
302319;1215619;-6.00759e+11;0.248696;
319287;2756398;2.15822e+11;0.115835;
338266;1273408;-4.71641e+11;0.265638;
