Sequential time;Concurrent time;Inaccuracy;Speedup
10529;7316;0;1.43917;
17361;10571;0;1.64232;
22874;13795;0;1.65814;
29930;18040;0;1.65909;
34759;17420;0;1.99535;
38762;25375;0;1.52757;
44947;30342;0;1.48135;
50183;31695;0;1.58331;
56285;34780;0;1.61832;
62145;39469;0;1.57453;
67062;42996;0;1.55973;
72623;44714;0;1.62417;
79412;49717;0;1.59728;
84264;48677;0;1.73108;
90326;48638;0;1.85711;
96174;49290;0;1.95119;
101458;47637;0;2.12982;
106853;53371;0;2.00208;
110912;51913;0;2.13650;
115518;57646;0;2.00392;
119697;55043;0;2.17461;
125340;56314;0;2.22573;
132127;59725;0;2.21226;
134818;61343;0;2.19777;
139909;63791;0;2.19324;
145507;71802;0;2.02650;
150251;78309;0;1.91869;
155278;81932;0;1.89521;
161425;81949;0;1.96982;
166207;89746;0;1.85197;
171904;87198;0;1.97142;
177594;85185;0;2.08480;
183898;96769;0;1.90038;
189279;82016;0;2.30783;
210434;80455;0;2.61555;
201458;94108;0;2.14071;
221018;111080;0;1.98972;
211982;91303;0;2.32174;
216244;109444;0;1.97584;
223848;104077;0;2.15079;
226356;107738;0;2.10099;
232694;111308;0;2.09054;
238447;113419;0;2.10235;
243477;118669;0;2.05173;
247650;124528;0;1.98871;
254212;123072;0;2.06556;
275909;124265;0;2.22033;
266299;124997;0;2.13044;
282246;114107;0;2.47352;
277084;131834;0;2.10176;
280481;141855;0;1.97724;
286482;132305;0;2.16531;
292478;146400;0;1.99780;
296992;155996;0;1.90384;
303250;152782;0;1.98485;
307008;153068;0;2.00570;
313836;158900;0;1.97505;
317614;149418;0;2.12567;
324489;158196;0;2.05118;
331530;168514;0;1.96737;
334851;161190;0;2.07737;
340787;164763;0;2.06835;
345448;158409;0;2.18073;
352695;166550;0;2.11765;
360178;167558;0;2.14957;
364709;164593;0;2.21582;
369955;175673;0;2.10593;
373492;168803;0;2.21259;
382479;182729;0;2.09315;
386403;171022;0;2.25938;
391355;176673;0;2.21514;
397342;178295;0;2.22857;
420614;197469;0;2.13003;
405680;188449;0;2.15273;
413744;201135;0;2.05705;
421539;195688;0;2.15414;
424362;193042;0;2.19829;
431160;217238;0;1.98474;
435482;199633;0;2.18141;
440234;184892;0;2.38103;
444465;201059;0;2.21062;
459409;209942;0;2.18827;
457628;204376;0;2.23915;
475764;221820;0;2.14482;
465853;214460;0;2.17221;
470835;221501;0;2.12566;
479719;214083;0;2.24081;
482319;223158;0;2.16133;
490328;238129;0;2.05909;
494481;222125;0;2.22614;
498321;241162;0;2.06633;
502909;234715;0;2.14264;
510889;241099;0;2.11900;
516544;225541;0;2.29024;
523737;236015;0;2.21908;
