Sequential time;Concurrent time;Inaccuracy;Speedup
16434;13716;0;1.19816;
26231;19733;0;1.32930;
34650;28962;0;1.19640;
46207;36244;0;1.27489;
54101;35291;0;1.533;
62029;50010;0;1.24033;
82803;54975;0;1.50619;
82305;50174;0;1.64039;
98233;62223;0;1.57872;
102983;58120;0;1.77190;
114180;70676;0;1.61554;
125280;64560;0;1.94052;
122186;68178;0;1.79216;
127745;84682;0;1.50853;
136290;81606;0;1.67010;
142893;82597;0;1.73000;
143790;86463;0;1.66302;
149767;90060;0;1.66297;
155193;97274;0;1.59542;
157658;92542;0;1.70364;
161589;106589;0;1.516;
168015;92591;0;1.81459;
176319;119144;0;1.47988;
184053;108214;0;1.70082;
188087;110596;0;1.70067;
191710;114266;0;1.67775;
200199;111922;0;1.78874;
204410;118605;0;1.72345;
213193;124021;0;1.71901;
216155;126196;0;1.71285;
226622;122953;0;1.84316;
230308;141897;0;1.62306;
242454;144526;0;1.67758;
243615;137316;0;1.77412;
248286;147475;0;1.68358;
255110;148107;0;1.72247;
258184;144656;0;1.78481;
263231;151057;0;1.74259;
269523;145423;0;1.85337;
278690;155105;0;1.79678;
277442;160445;0;1.72920;
285697;163650;0;1.74578;
289801;160368;0;1.80710;
298191;162365;0;1.83655;
303716;167646;0;1.81165;
307087;165395;0;1.85669;
313736;199897;0;1.56949;
320570;181935;0;1.762;
324771;206084;0;1.57592;
330919;180862;0;1.82968;
336437;196605;0;1.71123;
344277;194294;0;1.77194;
348317;187799;0;1.85473;
363659;195180;0;1.86320;
361952;198431;0;1.82407;
367979;201862;0;1.82292;
371686;205622;0;1.80762;
381629;204363;0;1.86741;
383125;210315;0;1.82167;
390755;211301;0;1.84928;
395474;216541;0;1.82632;
402099;219943;0;1.82820;
404855;224675;0;1.80196;
413975;227089;0;1.82296;
418008;250308;0;1.66997;
422880;224900;0;1.88030;
437617;230688;0;1.89701;
439886;231057;0;1.90380;
444680;244050;0;1.82209;
445718;236707;0;1.88299;
455489;242923;0;1.87503;
459632;250288;0;1.83641;
465229;243855;0;1.90781;
468462;250928;0;1.86692;
474190;250003;0;1.89674;
482650;261210;0;1.84775;
488561;254396;0;1.92047;
492701;256759;0;1.91892;
499590;262505;0;1.90316;
508549;264571;0;1.92216;
510477;286823;0;1.77976;
519519;268673;0;1.93365;
520776;274977;0;1.89389;
528500;277454;0;1.90482;
535407;300452;0;1.78201;
538300;284427;0;1.89258;
543336;315869;0;1.72013;
548365;295944;0;1.85294;
554483;295617;0;1.87568;
555002;298128;0;1.86162;
563580;303660;0;1.85596;
577340;299570;0;1.92723;
575228;300636;0;1.91337;
576593;302974;0;1.90311;
585133;303853;0;1.92571;
