Sequential time;Concurrent time;Inaccuracy;Speedup
15851;7667;0;2.06743;
14305;15457;0;0.925471;
21297;20919;0;1.01807;
25849;26603;0;0.971657;
36781;32542;0;1.13026;
38399;30816;0;1.24607;
43963;42184;0;1.04217;
55649;44628;0;1.24695;
55970;45564;0;1.22838;
60618;48152;0;1.25889;
75360;46511;0;1.62026;
73179;51025;0;1.43418;
87606;62618;0;1.39905;
84461;58114;0;1.45337;
93072;53236;0;1.74829;
99013;54908;0;1.80325;
111111;74981;0;1.48186;
112995;84329;0;1.33993;
110539;67836;0;1.62950;
116992;64913;0;1.80229;
125422;91962;0;1.36385;
124191;76712;0;1.61893;
129473;92272;0;1.40317;
154406;91883;0;1.68046;
146284;121865;0;1.20038;
144459;91538;0;1.57813;
149738;103979;0;1.44008;
156767;99680;0;1.57270;
173603;95129;0;1.82492;
186971;91322;0;2.04738;
201198;118242;0;1.70158;
197181;142145;0;1.38718;
193569;107460;0;1.80131;
210550;145009;0;1.45198;
199265;125917;0;1.58251;
227031;118271;0;1.91958;
222678;123816;0;1.79846;
217132;130054;0;1.66955;
248060;126066;0;1.96770;
229791;122450;0;1.87661;
244562;175014;0;1.39739;
253951;128737;0;1.97263;
239959;148877;0;1.61179;
242918;163162;0;1.48881;
283374;173043;0;1.63759;
256996;145969;0;1.76062;
258611;175526;0;1.47335;
299989;169167;0;1.77333;
270423;162423;0;1.66493;
290732;184672;0;1.57432;
282620;164685;0;1.71612;
292828;194702;0;1.50398;
293331;162937;0;1.80027;
329336;176349;0;1.86752;
301424;163673;0;1.84162;
326985;197792;0;1.65318;
315666;186974;0;1.68829;
320791;178966;0;1.79247;
342421;205668;0;1.66492;
331249;216893;0;1.52725;
336901;187489;0;1.79691;
349873;183714;0;1.90444;
371238;227906;0;1.62891;
352226;208260;0;1.69128;
357114;209896;0;1.70139;
364489;202312;0;1.80162;
368363;209894;0;1.75500;
375425;228891;0;1.64019;
379452;239444;0;1.58472;
386135;217269;0;1.77722;
390303;215261;0;1.81316;
395038;213538;0;1.84997;
400660;228509;0;1.75337;
405272;248032;0;1.63395;
411274;242860;0;1.69346;
415984;223873;0;1.85812;
446115;232883;0;1.91562;
431591;247846;0;1.74137;
434190;234062;0;1.85502;
460082;239796;0;1.91864;
447395;267413;0;1.67305;
449392;243800;0;1.84328;
475799;251152;0;1.89447;
462232;275777;0;1.67611;
467089;269541;0;1.73291;
471641;274189;0;1.72013;
478090;264227;0;1.80939;
482977;269795;0;1.79016;
489064;272060;0;1.79763;
493615;275040;0;1.79470;
499477;284762;0;1.75402;
506208;283193;0;1.78750;
509880;301750;0;1.68974;
513027;294001;0;1.74498;
521007;292620;0;1.78049;
