Sequential time;Concurrent time;Inaccuracy;Speedup
10774;7182;0;1.50014;
15266;16160;0;0.944678;
21422;21035;0;1.01840;
26870;26217;0;1.02491;
32463;31791;0;1.02114;
38314;34093;0;1.12381;
44708;41627;0;1.07401;
50298;42765;0;1.17615;
64374;46364;0;1.38845;
62180;52838;0;1.17680;
67451;61194;0;1.10225;
73834;57739;0;1.27875;
79302;53633;0;1.47860;
91709;55757;0;1.64480;
90167;61037;0;1.47725;
96737;61571;0;1.57115;
101835;68079;0;1.49584;
106845;60619;0;1.76257;
111221;64918;0;1.71325;
116651;73681;0;1.58319;
120208;70525;0;1.70447;
126303;82367;0;1.53342;
129765;78686;0;1.64915;
135658;78846;0;1.72054;
139430;89171;0;1.56362;
162283;93893;0;1.72838;
151474;94369;0;1.60512;
157210;89982;0;1.74713;
162243;113216;0;1.43304;
176055;104764;0;1.68049;
173855;103936;0;1.67271;
179086;119279;0;1.50140;
185021;108528;0;1.70482;
190948;108556;0;1.75898;
195439;126571;0;1.54411;
200488;112755;0;1.77809;
207834;119204;0;1.74352;
211794;118418;0;1.78853;
218017;132784;0;1.64189;
223454;134821;0;1.65741;
228755;155925;0;1.46708;
234101;133804;0;1.74958;
239695;135896;0;1.76381;
252649;146046;0;1.72993;
250447;152106;0;1.64653;
263562;141357;0;1.86451;
262788;174165;0;1.50885;
267381;172775;0;1.54757;
272391;154907;0;1.75842;
277909;159514;0;1.74222;
282878;159707;0;1.77123;
289549;169469;0;1.70857;
294783;166168;0;1.77401;
299205;186520;0;1.60414;
305705;207399;0;1.47399;
310824;179300;0;1.73354;
316318;185039;0;1.70947;
320700;183178;0;1.75076;
327809;181838;0;1.80275;
332109;226370;0;1.46711;
338234;193968;0;1.74376;
360866;192380;0;1.87580;
350129;194232;0;1.80263;
355992;196382;0;1.81275;
362232;196855;0;1.84010;
366565;217843;0;1.68270;
371194;217457;0;1.70698;
377357;213891;0;1.76425;
385267;217955;0;1.76764;
388475;217101;0;1.78937;
393851;222400;0;1.77091;
399392;224402;0;1.77981;
421122;226391;0;1.86015;
411479;225004;0;1.82876;
415471;257708;0;1.61218;
421389;242571;0;1.73718;
425791;235544;0;1.80769;
432536;235119;0;1.83965;
437407;254260;0;1.72031;
443860;250088;0;1.77482;
447970;247266;0;1.81169;
454395;280069;0;1.62244;
460033;260103;0;1.76866;
465040;276609;0;1.68122;
470822;254945;0;1.84676;
477507;260894;0;1.83027;
482036;283458;0;1.70056;
486507;273002;0;1.78206;
498894;275072;0;1.81369;
497529;275678;0;1.80475;
502390;280115;0;1.79351;
510678;300332;0;1.70038;
534021;285422;0;1.87099;
520766;287270;0;1.81281;
525770;290240;0;1.81150;
