Sequential time;Concurrent time;Inaccuracy;Speedup
18871;9642;0;1.95717;
30870;17900;0;1.72458;
34007;17495;0;1.94381;
46559;20901;0;2.22760;
53355;22631;0;2.35761;
62413;24087;0;2.59115;
82918;27219;0;3.04633;
82330;27416;0;3.00299;
97674;32843;0;2.97397;
103073;31907;0;3.23042;
114565;35225;0;3.25238;
114853;36744;0;3.12576;
122473;40832;0;2.99944;
127639;41490;0;3.07638;
136233;44168;0;3.08443;
142320;46664;0;3.04989;
143905;43883;0;3.27929;
149774;45945;0;3.25985;
154345;48244;0;3.19926;
157239;48536;0;3.23964;
161770;51302;0;3.15329;
168307;55465;0;3.03447;
176550;53354;0;3.30903;
179476;54879;0;3.27039;
188399;57964;0;3.25028;
192593;60936;0;3.16058;
201131;61026;0;3.29582;
204160;65031;0;3.13943;
213768;66633;0;3.20814;
215596;69310;0;3.11060;
226665;69314;0;3.27012;
231876;71068;0;3.26273;
233683;74414;0;3.14031;
243452;75851;0;3.20961;
254029;74695;0;3.40088;
254958;78002;0;3.26861;
259136;79394;0;3.26392;
264039;82538;0;3.199;
266991;83181;0;3.20976;
280148;83829;0;3.34190;
279968;85006;0;3.29351;
286859;86467;0;3.31755;
290465;87201;0;3.33098;
297068;90689;0;3.27568;
302616;92672;0;3.26545;
328106;93545;0;3.50747;
313153;94950;0;3.29808;
321151;99276;0;3.23493;
324394;99536;0;3.25906;
331815;99796;0;3.32493;
338139;98621;0;3.42867;
345712;103242;0;3.34856;
348547;103575;0;3.36517;
355966;106614;0;3.33883;
361989;106486;0;3.39940;
365082;111317;0;3.27966;
370727;111953;0;3.31145;
378827;112925;0;3.35468;
380784;113245;0;3.36248;
389786;115382;0;3.37822;
397158;120293;0;3.30159;
403616;120540;0;3.34840;
405122;119951;0;3.37740;
415368;126716;0;3.27794;
417090;128652;0;3.242;
423789;127812;0;3.31572;
430857;127885;0;3.36910;
440986;133203;0;3.31063;
446324;132937;0;3.35741;
450646;134278;0;3.35607;
457068;133198;0;3.43149;
459062;139928;0;3.28070;
464547;139735;0;3.32449;
465580;139860;0;3.32890;
474789;139620;0;3.40058;
484029;145254;0;3.33229;
488312;146202;0;3.33998;
497445;146275;0;3.40075;
498704;147775;0;3.37475;
510157;152449;0;3.34641;
514227;152588;0;3.37004;
518377;153717;0;3.37228;
520560;155847;0;3.34020;
529967;160324;0;3.30560;
530858;160971;0;3.29785;
540664;159415;0;3.39155;
543059;163400;0;3.32349;
547940;166464;0;3.29164;
553338;168147;0;3.29080;
556350;167789;0;3.31577;
560743;166848;0;3.36080;
572439;172722;0;3.31422;
573727;172793;0;3.32031;
577984;172191;0;3.35664;
585543;173880;0;3.36751;
