Sequential time;Concurrent time;Inaccuracy;Speedup
10406;6666;0;1.56106;
11223;10540;0;1.06480;
17099;11080;0;1.54323;
20654;12493;0;1.65325;
25226;16965;0;1.48694;
26040;18350;0;1.41907;
36082;21963;0;1.64285;
35713;22986;0;1.55368;
56378;25548;0;2.20675;
46316;27867;0;1.66204;
51252;30457;0;1.68277;
56207;32199;0;1.74561;
59987;35193;0;1.70452;
64890;36917;0;1.75773;
68461;36948;0;1.85290;
75396;40145;0;1.87809;
78282;38160;0;2.05142;
83127;40894;0;2.03274;
87665;42484;0;2.06348;
93077;40559;0;2.29485;
96510;45584;0;2.11719;
103530;42732;0;2.42277;
106194;46185;0;2.29932;
110636;51220;0;2.16002;
115127;52309;0;2.20090;
120759;51085;0;2.36388;
125557;51860;0;2.42108;
132305;54512;0;2.42708;
137961;56987;0;2.42092;
145467;57491;0;2.53026;
149792;59633;0;2.51190;
156436;60335;0;2.59279;
163567;62966;0;2.59770;
168432;63502;0;2.65239;
187066;65580;0;2.85249;
191523;67126;0;2.85319;
188996;69997;0;2.70006;
195338;70398;0;2.77477;
199519;72542;0;2.75039;
202978;75254;0;2.69724;
211988;76252;0;2.78010;
216305;78067;0;2.77076;
220267;79611;0;2.76679;
225770;81488;0;2.77059;
237317;84131;0;2.82080;
244504;87636;0;2.78999;
248104;86622;0;2.86421;
248041;88414;0;2.80545;
255752;89416;0;2.86025;
261434;91418;0;2.85977;
265772;94981;0;2.79816;
273707;95126;0;2.87731;
285692;97033;0;2.94428;
298276;98818;0;3.01844;
297210;104798;0;2.83603;
298143;104195;0;2.86139;
305193;106948;0;2.85366;
309855;107825;0;2.87368;
317330;108643;0;2.92085;
322991;113097;0;2.85588;
330992;112415;0;2.94438;
341205;112786;0;3.02524;
338573;115322;0;2.93589;
346201;117485;0;2.94677;
347301;118811;0;2.92314;
358888;120505;0;2.97820;
363329;121715;0;2.98508;
371624;124042;0;2.99595;
380938;125378;0;3.03832;
384808;126925;0;3.03177;
386869;129092;0;2.99685;
388231;130569;0;2.97338;
393439;132063;0;2.97918;
400170;134000;0;2.98634;
405691;135845;0;2.98643;
419384;137465;0;3.05084;
438260;139970;0;3.13110;
429795;142546;0;3.01513;
435417;143299;0;3.03852;
438784;144927;0;3.02762;
444575;147790;0;3.00815;
453259;148918;0;3.04368;
456182;150273;0;3.03569;
465987;155663;0;2.99356;
490622;155430;0;3.15655;
475879;156770;0;3.03552;
481589;158947;0;3.02987;
480770;158873;0;3.02613;
491984;161540;0;3.04559;
496567;162888;0;3.04852;
495519;166779;0;2.97111;
510937;167123;0;3.05725;
515046;167353;0;3.07760;
514932;169836;0;3.03194;
529203;170959;0;3.09550;
