Последовательное время;Параллельное время;Неточность;Ускорение
205769;1734415;-2.44142e+11;0.118639;
207563;934844;4.20101e+10;0.22203;
215656;956094;-3.71112e+10;0.225559;
211604;1210279;1.922e+11;0.174839;
212213;1816966;-1.51129e+11;0.116795;
225813;1816019;-2.85078e+11;0.124345;
215202;1838082;-1.17575e+11;0.11708;
222987;1144466;3.66549e+11;0.194839;
216365;1811069;-3.06419e+11;0.119468;
220677;1149785;6.00624e+10;0.191929;
220428;1911131;1.0214e+11;0.115339;
222769;1954116;3.81849e+11;0.114;
222654;1853178;2.32666e+11;0.120147;
225043;2031897;2.14077e+11;0.110755;
226188;1869398;5.30831e+11;0.120995;
226029;1867727;-4.86942e+11;0.121018;
229788;869370;-1.22272e+11;0.264316;
231467;834453;9.82474e+10;0.277388;
230011;1930150;-1.78912e+11;0.119167;
233455;1955056;2.42934e+10;0.119411;
232854;2056712;1.16904e+11;0.113217;
234843;2083443;6.27736e+11;0.112719;
243013;2024146;5.36871e+10;0.120057;
245132;2129414;2.76354e+11;0.115117;
238329;2081994;7.64638e+11;0.114472;
238927;1964978;1.07911e+11;0.121593;
240783;2091605;-2.97829e+11;0.115119;
242733;2138712;5.30965e+11;0.113495;
246258;2103254;2.70717e+11;0.117084;
249119;1075504;-3.33128e+11;0.23163;
247302;756632;2.93937e+11;0.326846;
280080;2188074;4.3755e+10;0.128003;
251650;1134679;1.87905e+10;0.221781;
257835;1174681;6.91221e+10;0.219494;
252942;1118519;-1.79718e+11;0.22614;
254967;1149659;-4.58622e+11;0.221776;
254995;2232398;2.57698e+10;0.114225;
256303;2205861;-1.01804e+12;0.116192;
258584;2230276;-2.30854e+10;0.115943;
257968;2154467;-1.24554e+11;0.119736;
260484;1586319;5.46132e+11;0.164207;
261226;1030157;3.34605e+11;0.253579;
269131;950696;5.16067e+11;0.283088;
264128;2360879;1.33949e+11;0.111877;
265076;991658;4.06143e+11;0.267306;
267015;2374377;8.44364e+11;0.112457;
267766;1140630;7.43298e+11;0.234753;
270793;2334381;-4.01714e+11;0.116002;
307605;2518216;-7.63967e+11;0.122152;
273568;2446156;3.2682e+11;0.111836;
272765;1212949;-7.71484e+11;0.224878;
274430;1312566;5.18617e+11;0.209079;
295541;2352976;4.8305e+11;0.125603;
277121;2455497;3.40779e+11;0.112857;
278965;2351391;-1.30325e+11;0.118638;
280527;2283859;-7.20749e+11;0.12283;
281904;2478735;1.10327e+11;0.113729;
283350;2452239;-3.19975e+11;0.115547;
286875;2496627;8.65436e+11;0.114905;
285929;1466196;-3.86815e+11;0.195014;
288509;2392831;5.99685e+11;0.120572;
288105;2562810;1.41734e+11;0.112418;
289923;2442182;6.32434e+11;0.118715;
299001;2480385;-1.38513e+11;0.120546;
293989;2627902;-7.43029e+11;0.111872;
295231;2550109;-1.14273e+12;0.115772;
301569;1277862;2.16091e+11;0.235995;
300470;2609605;-7.76315e+11;0.11514;
298937;1553306;-5.95658e+11;0.192452;
300679;2641909;-1.13682e+12;0.113811;
305433;2627162;-6.00759e+11;0.11626;
304445;2637197;1.00959e+12;0.115443;
327966;2619943;9.55899e+11;0.125181;
308110;2675338;1.06059e+12;0.115167;
308591;2653932;1.23373e+12;0.116277;
322986;2642951;-6.64109e+11;0.122207;
310446;1294720;1.2901e+12;0.239778;
311264;2662146;-1.55961e+11;0.116922;
312681;2752293;-1.39855e+12;0.113607;
315717;1328060;6.16865e+11;0.237728;
317659;2700923;2.15822e+11;0.117611;
316606;2679085;5.0439e+11;0.118177;
318360;1467103;-8.21412e+10;0.216999;
320748;2795472;2.0079e+11;0.114738;
331660;2805297;-7.48935e+10;0.118226;
322263;2867194;9.71468e+11;0.112397;
344325;1369017;3.57288e+11;0.251513;
326738;2867786;-1.17951e+12;0.113934;
352449;2895394;4.20101e+11;0.121727;
376309;2932664;5.51903e+11;0.128316;
347891;2956961;-4.71641e+11;0.117652;
