Последовательное время;Параллельное время;Неточность;Ускорение
16751;137155;-2.09191e+08;0.122132;
19023;132445;1.30417e+07;0.143629;
19900;157018;-7.88464e+08;0.126737;
22602;143838;5.30317e+08;0.157135;
20560;193871;3.61103e+08;0.10605;
22393;209413;1.01417e+09;0.106932;
24006;190856;-5.85826e+08;0.125781;
24587;219439;1.15474e+09;0.112045;
27005;104725;1.06627e+09;0.257866;
27375;237581;-2.23124e+09;0.115224;
34024;242175;7.83286e+08;0.140493;
30304;109190;1.2942e+09;0.277535;
32106;100033;3.46554e+08;0.320954;
52741;298382;-3.14075e+09;0.176757;
36916;289230;-2.50557e+09;0.127635;
56285;314066;3.022e+09;0.179214;
55536;330122;1.10415e+09;0.168229;
40106;190654;8.49871e+08;0.21036;
41374;170918;3.67788e+09;0.242069;
49237;209023;6.46185e+09;0.235558;
51263;382541;-1.94091e+09;0.134007;
52428;385850;7.67662e+09;0.135877;
46374;391835;-2.28957e+09;0.118351;
54788;433677;3.37851e+09;0.126334;
77391;420692;-4.72279e+09;0.183961;
61718;199182;-7.01497e+08;0.309857;
52888;405375;8.61929e+08;0.130467;
57416;229436;1.09996e+10;0.250248;
53291;467869;-6.45084e+09;0.113902;
54645;499812;1.26259e+10;0.109331;
62028;512100;4.65253e+09;0.121125;
57375;384263;-1.73141e+10;0.149312;
58958;486597;1.13456e+09;0.121164;
59189;524571;2.01327e+08;0.112833;
72711;320872;1.1786e+09;0.226604;
87268;197875;-2.41172e+08;0.441026;
86859;598348;2.85213e+08;0.145165;
70516;567344;-1.19244e+10;0.124291;
78590;600541;4.72488e+09;0.130865;
67069;236337;-7.46796e+09;0.283785;
69099;375138;8.49137e+09;0.184196;
69928;571915;1.1981e+10;0.12227;
71771;506988;-1.58041e+10;0.141564;
73667;601595;2.353e+09;0.122453;
73828;638924;9.4959e+09;0.115551;
75595;676265;-2.1479e+10;0.111783;
77094;664801;-2.16846e+09;0.115966;
78390;628058;4.16914e+09;0.124813;
81025;642659;1.01754e+10;0.126078;
88244;673470;-5.11957e+10;0.131029;
83003;413410;4.86539e+08;0.200776;
83640;713146;-1.58922e+10;0.117283;
84871;678612;5.62456e+09;0.125066;
86199;756653;2.12274e+10;0.113921;
92635;740372;-2.16132e+10;0.12512;
89689;299776;2.64325e+10;0.299187;
91031;755470;1.65339e+10;0.120496;
92148;771790;-2.52917e+10;0.119395;
93329;789084;-1.45878e+10;0.118275;
96116;790669;4.36375e+10;0.121563;
96959;800200;-6.0398e+08;0.121168;
98421;802842;-1.18028e+10;0.122591;
100372;858270;-3.96697e+10;0.116947;
101521;334040;2.19782e+09;0.303919;
129646;882203;-7.74269e+09;0.146957;
104066;357354;-3.41584e+10;0.291213;
107639;423378;3.16167e+10;0.254239;
107267;856723;-6.75786e+10;0.125206;
108941;920021;-6.02721e+10;0.118411;
108237;908122;1.35644e+10;0.119188;
139087;509872;-2.24899e+10;0.272788;
125859;950964;-1.69702e+10;0.132349;
113896;928001;1.95119e+10;0.122733;
115291;979243;-5.9794e+10;0.117735;
116060;509856;-5.97772e+10;0.227633;
118224;462732;-3.64904e+10;0.255491;
117946;314227;-4.65568e+10;0.375353;
120233;493195;6.74276e+10;0.243784;
136888;1098951;-1.24151e+10;0.124562;
123017;1006788;1.42355e+11;0.122188;
124831;1069769;5.78814e+10;0.11669;
125730;538780;9.12848e+10;0.233361;
149678;1134085;-4.68923e+10;0.131981;
127496;1106475;6.19247e+10;0.115227;
129997;1092629;-3.19942e+10;0.118976;
131188;364424;1.21333e+11;0.359987;
132636;1093725;5.29321e+10;0.12127;
133561;1103494;4.36711e+10;0.121035;
134081;1165620;5.5801e+10;0.11503;
136845;1157928;7.99602e+10;0.118181;
137630;509633;1.49988e+10;0.270057;
138324;1131851;-9.27445e+10;0.12221;
139727;1237685;-1.99313e+10;0.112894;
140418;1203037;7.11018e+10;0.11672;
142959;1251750;-1.9787e+11;0.114207;
143278;1268681;9.50933e+10;0.112935;
145834;1185539;3.87218e+10;0.123011;
147302;1217553;-1.28211e+11;0.120982;
147801;1324155;1.63679e+11;0.111619;
148548;1264732;9.17378e+10;0.117454;
170368;1357317;-4.35872e+10;0.125518;
151148;1376266;1.25829e+11;0.109825;
153019;728611;-2.23473e+10;0.210015;
154637;752489;2.04514e+11;0.205501;
155705;1314093;-1.62068e+11;0.118489;
158655;1329165;3.79165e+09;0.119364;
159461;888816;-1.64115e+11;0.179408;
160354;1356355;2.43236e+11;0.118224;
163574;1372338;-2.37733e+11;0.119194;
163653;1348325;1.78946e+11;0.121375;
165932;1454329;-8.62349e+10;0.114095;
167460;1385645;-1.48445e+11;0.120853;
168757;1420622;-8.82146e+10;0.118791;
169445;594142;1.3764e+11;0.285193;
171524;1522473;-1.19756e+11;0.112661;
172741;1469991;1.44955e+11;0.117512;
174065;1544183;6.80148e+10;0.112723;
175848;1451506;-2.39679e+11;0.121149;
176464;1481966;-2.23473e+11;0.119074;
178391;1475035;1.19789e+11;0.12094;
178420;1561861;1.05227e+11;0.114236;
180955;1521958;-1.06569e+11;0.118896;
181509;1501343;1.1073e+11;0.120898;
199747;1617020;1.70457e+10;0.123528;
186968;1565572;-3.8856e+10;0.119425;
185953;1625116;-7.07999e+10;0.114424;
200970;1677071;-8.10004e+10;0.119834;
190587;1627919;5.362e+10;0.117074;
190788;1648003;-2.77227e+11;0.115769;
191693;928320;2.77092e+11;0.206495;
194551;1649121;2.99306e+11;0.117973;
194608;976229;-3.12862e+11;0.199347;
197388;1754053;1.77302e+11;0.112533;
198292;1660492;8.5698e+10;0.119418;
199871;1777043;-1.27507e+11;0.112474;
199661;1764765;7.22091e+10;0.113137;
220620;1663776;-1.16769e+10;0.132602;
203655;729009;-2.67093e+10;0.279359;
217566;1821027;1.31265e+11;0.119474;
205550;820861;2.03407e+11;0.250408;
